doc_number,positive,negative,ratio_pos_over_neg,positive_ratio,negative_ratio,net_ratio,length,parent_doc,offset,from,to,subj,sent,cc,questions,chars
C05739667,1,0,0,0.142857142857,0.0,0.142857142857,7,,9,Hillary Clinton,Monica Hanley,Re: PDB,"Saturday, September 15, 2012 10:56 AM",,,25
C05739667,2,0,0,0.0512820512821,0.0,0.0512820512821,39,,11,Hillary Clinton,Monica Hanley,Re: PDB,"Saturday, September 15, 2012 10:43 AM",,,156
C05739668,1,0,0,0.166666666667,0.0,0.166666666667,6,,2,Hillary Clinton,"Sullivan, Jacob J",Re: Speech draft for Friday at CSIS,"Wednesday, October 10, 2012 08:12 PM",,,23
C05739673,0,0,0,0.0,0.0,0.0,17,,2,H [mailto:HDR22@clintonemail.comJ,Monica Hanley,Re: PDS,"Saturday, September 15, 2012 06:38 PM",,,73
C05739673,3,0,0,0.12,0.0,0.12,25,,4,H fmailto:HDR22@clintonernail.corni,Monica Hanley,Re: PDS,"Saturday, September 15,2012 06:30 PM",,,97
C05739673,1,0,0,0.0769230769231,0.0,0.0769230769231,13,,6,H rmailto:HDR22@clintonemail.comi,Monica Hanley,Re: MB,"Saturday, September 15, 2012 01:10 PM",,,53
C05739673,6,1,6.0,0.0618556701031,0.0103092783505,0.0515463917526,97,,8,Hillary Clinton,Monica Hanley,Re: PDB,"Saturday, September 15, 2012 11:06 AM",,,439
C05739673,5,0,0,0.0819672131148,0.0,0.0819672131148,61,,10,Hillary Clinton,Monica Hanley,Re: PDB,"Saturday, September 15, 2012 10:43 AM",Huma Abedin,,259
C05739675,1,0,0,0.037037037037,0.0,0.037037037037,27,,3,H [mailto:HDR22@clintonemall.coml,Monica Hanley,Re: PDB,,,,136
C05739675,3,0,0,0.115384615385,0.0,0.115384615385,26,,5,Hillary Clinton,Monica Hanley,Re: PDB,"Saturday, September 15, 2012 06:30 PM",,,99
C05739675,1,0,0,0.047619047619,0.0,0.047619047619,21,,7,H [mailto:HDR22@clintonemail.comJ,Monica Hanley,Re: PDB,,,,96
C05739675,1,0,0,0.142857142857,0.0,0.142857142857,7,,10,H imailto:HDR22@clintonemail.con-ii,Monica Hanley,Re: PDB,"Saturday, September 15, 2012 10:56 AM",,,25
C05739680,3,0,0,0.0625,0.0,0.0625,48,,1,Hillary Clinton,Monica Hanley,Re: Holder,"Saturday, September 15, 2012 6:53 PM",,,200
C05739680,1,1,1.0,0.0454545454545,0.0454545454545,0.0,22,,3,Hillary Clinton,Monica Hanley,Re: PDB,"Saturday, September 15, 2012 06:38 PM",,,97
C05739680,2,0,0,0.105263157895,0.0,0.105263157895,19,,5,H frnalito:HDR22@clintortemall.comi,Monica Hanley,Re: PDB,"Saturday, September 15, 2012 06:30 PM",,,72
C05739680,3,0,0,0.0652173913043,0.0,0.0652173913043,46,,7,H fmailto:HDR22@clintonemail.comj,Monica Hanley,Re: PDB,"Saturday, September 15, 2012 01:10 PM",,,231
C05739680,4,0,0,0.0689655172414,0.0,0.0689655172414,58,,9,Hillary Clinton,Monica Hanley,Re: PDB,"Saturday, September 15, 2012 10:43 AM"," Abedin, Hurna",,239
C05739682,0,1,0.0,0.0,0.0714285714286,-0.0714285714286,14,,1,Hillary Clinton,Jacob Sullivan,Re: Ending of speech,"Friday, October 12, 2012 6:10 AM", 'SchwerinDB@state.gov',,53
C05739685,0,1,0.0,0.0,0.0714285714286,-0.0714285714286,14,,2,Hillary Clinton,Jacob Sullivan,Re: Ending of speech,"Friday, October 12, 2012 6:10 AM",Daniel Schwerin,,53
C05739686,1,0,0,0.0666666666667,0.0,0.0666666666667,15,,2,H tmailto:HDR22@clintonemail.com),Monica Hanley,Re: Holder,"Saturday, September 15, 2012 06:53 PM",,,53
C05739686,0,1,0.0,0.0,0.0416666666667,-0.0416666666667,24,,5,H Imailto:HDR22@clintonemail.com],Monica Hanley,Re: PDB,,,,115
C05739686,5,0,0,0.0714285714286,0.0,0.0714285714286,70,,7,H jrnailto:HDR22@clintonemail.corni,Monica Hanley,Re: PDB,"Saturday, September 15, 2012 06:30 PM",,,289
C05739686,1,0,0,0.0833333333333,0.0,0.0833333333333,12,,8,Hillary Clinton,Monica Hanley,Re: PDB,"Saturday, September 15, 2012 01:10 PM",,,52
C05739686,2,0,0,0.133333333333,0.0,0.133333333333,15,,10,"H [mailto:HDR22@clintonemail,cornj",Monica Hanley,Re: PDB,"Saturday, September 15, 2012 11:06 AM",,,69
C05739686,8,1,8.0,0.0427807486631,0.00534759358289,0.0374331550802,187,,12,Hillary Clinton,Monica Hanley,Re; PDB,"Saturday, September 15, 2012 10:56 AM",,,950
C05739686,2,0,0,0.0526315789474,0.0,0.0526315789474,38,,13,Hillary Clinton,Monica Hanley,Re: PDB,"Saturday, September 15, 2012 10:43 AM",,,154
C05739688,0,0,0,0.0,0.0,0.0,9,,3,H [mailto:HDR22@clintonemailcorni,Monica Hanley,Re: Holder,"Saturday, September 15, 2912 06:53 PM",,,28
C05739688,2,0,0,0.105263157895,0.0,0.105263157895,19,,6,H [mailto:HDR22@clintonemail.comi,Monica Hanley,Re: PDB,"Saturday, September 15, 2012 06:30 PM",,,72
C05739688,0,0,0,0.0,0.0,0.0,7,,8,H [mailto:HDR22@clintonemail.comJ,Monica Hanley,Re: PDB,"Saturday, September 15, 2012 01:10 PM",,,27
C05739688,2,0,0,0.142857142857,0.0,0.142857142857,14,,10,H Imailto:HDR22@clintonemail.coml,Monica Hanley,Re: PDB,"Saturday, September 15, 2012 11:06 AM",,,66
C05739688,2,0,0,0.166666666667,0.0,0.166666666667,12,,12,H [mailto:HDR22@clintonemaitcomj,Monica Hanley,Re: PDB,"Saturday, September 15, 2012 10:56 AM",,,49
C05739688,3,0,0,0.0681818181818,0.0,0.0681818181818,44,,14,Hillary Clinton,Monica Hanley,Re: PDB,"Saturday, September 15, 2012 10:43 AM",,,179
C05739689,2,0,0,0.166666666667,0.0,0.166666666667,12,,1,Hillary Clinton,tanleyrnr@state.gov',Re: Holder,"Sunday, September 16, 2012 7:50 AM",,,45
C05739689,3,0,0,0.063829787234,0.0,0.063829787234,47,,3,Hillary Clinton,Monica Hanley,Re: Holder,"Saturday, September 15, 2012 06:53 PM",,,200
C05739689,0,1,0.0,0.0,0.0588235294118,-0.0588235294118,17,,5,H [mailto:HDR22@clintonernail.corni,Monica Hanley,Re: PDB,"Saturday, September 15, 2012 06:38 PM",,,74
C05739689,2,0,0,0.133333333333,0.0,0.133333333333,15,,10,H Ernailto:HDR22@clintonernailcomj,Monica Hanley,Re: PDB,"Saturday, September 15, 2012 11:06 AM",,,70
C05739689,1,0,0,0.142857142857,0.0,0.142857142857,7,,12,Hillary Clinton,Monica Hanley,Re: PDB,"Saturday, September 15, 2012 10:56 AM",,,25
C05739689,6,0,0,0.0833333333333,0.0,0.0833333333333,72,,14,Hillary Clinton,Monica Hanley,Re: PDB,"Saturday, September 15, 2012 10:43 AM",Huma Abedin,,324
C05739692,5,1,5.0,0.116279069767,0.0232558139535,0.093023255814,43,,2,Hillary Clinton,Monica Hanley,Re: Question and update,"Saturday, September 15, 2012 06:35 PM",,,187
C05739693,2,0,0,0.0454545454545,0.0,0.0454545454545,44,,1,Hillary Clinton,Monica Hanley,Re: King of Morocco,"Sunday, September 16, 2012 8:57 AM",Huma Abedin,,188
C05739693,12,3,4.0,0.100840336134,0.0252100840336,0.0756302521008,119,,2,H imailto:HDR22@clintonernaiLcomi,Monica Hanley,Re: Question and update,"Saturday, September 15, 2012 06:35 PM",Huma Abedin,,559
C05739695,3,0,0,0.0612244897959,0.0,0.0612244897959,49,,1,Hillary Clinton,Monica Hanley,Re: King of Morocco,"Sunday, September 16, 2012 8:57 AM",Huma Abedin,,217
C05739695,4,1,4.0,0.1,0.025,0.075,40,,2,H [mailto:HDR22@clintonernall.connj,"Hanky, Monica R",Re: Question and update,"Saturday, September 15, 2012 06:35 PM",,,164
C05739696,0,0,0,0.0,0.0,0.0,18,,1,Hillary Clinton,Lauren Jiloty,"Fw: H: UBL, AQ & Libya. Sid",,,,90
C05739698,2,0,0,0.166666666667,0.0,0.166666666667,12,,2,H [rnailto:HDR22@clintonemail.comi,Monica Hanley,Re: King of Morocco,"Sunday, September 16, 2012 08:56 AM",,,46
C05739698,4,1,4.0,0.0952380952381,0.0238095238095,0.0714285714286,42,,4,Hillary Clinton,Monica Hanley,Re: Question and update,"Saturday, September 15, 2012 06:35 PM",,,166
C05739699,1,2,0.5,0.0333333333333,0.0666666666667,-0.0333333333333,30,,1,Hillary Clinton,Jacob Sullivan,"Fw: H: UBL, AQ & Libya. Sid","Friday, May 6, 20111:53 AM",,,136
C05739701,1,0,0,0.0277777777778,0.0,0.0277777777778,36,,3,H Emailto:HDR22@ciintonemail.comj,Monica Hanley,Re: King of Morocco,"Sunday, September 16, 2012 08:56 AM",Huma Abedin,,162
C05739701,4,1,4.0,0.102564102564,0.025641025641,0.0769230769231,39,,4,H [mailto:HDR22@clintonemail.comJ,Monica Hanley,Re: Question and update,"Saturday, September 15, 2012 06:35 PM",,,161
C05739708,2,0,0,0.0689655172414,0.0,0.0689655172414,29,,1,Hillary Clinton,"'rnillscd@state,gov.",Re: Visas Obtained,"Sunday, September 16, 2012 12:45 PM",,,147
C05739711,1,0,0,0.142857142857,0.0,0.142857142857,7,,1,Hillary Clinton,Cheryl Mills,"Re: Bloomberg: Libyan Ambassador's Death Not a Political Issue, Says Dad","Sunday, October 14, 2012 9:40 AM",,,24
C05739714,1,0,0,0.142857142857,0.0,0.142857142857,7,,2,Hillary Clinton,Cheryl Mills,"Re: Bloomberg: Libyan Ambassador's Death Not a Political Issue, Says Dad","Sunday, October 14, 2012 09:39 AM",,,24
C05739715,0,0,0,0.0,0.0,0.0,8,,1,Hillary Clinton,'suIlivanjj@state.gov',Fw: H: New memo: Qs secret bid to UK. Sid,"Friday, June 3, 20111:54 PM",Lauren Jiloty,,29
C05739718,1,0,0,0.142857142857,0.0,0.142857142857,7,,3,Hillary Clinton,Cheryl Mills,"Re: Bloomberg: Libyan Ambassador's Death Not a Political Issue, Says Dad","Sunday, October 14, 2012 09:39 AM",,,24
C05739721,0,0,0,0.0,0.0,0.0,8,,2,Hillary Clinton,Jacob Sullivan,Fw: H: New memo: Q's secret bid to UK Sid,"Friday, June 03, 2011 1:54 PM",Lauren Jiloty,,28
C05739722,0,0,0,0.0,0.0,0.0,7,,1,Hillary Clinton,Jacob Sullivan,Re: 'Meet the Press Transcript: U.S. Ambassador to the United Nations Susan Rice,,,,37
C05739728,0,0,0,0.0,0.0,0.0,1,,2,Hillary Clinton,"Sullivan, Jacob J",Re: 'Meet the Press' Transcript: U.S. Ambassador to the United Nations Susan Rice,"Sunday, September 16, 2012 02:39 PM",,,0
C05739729,1,0,0,0.0833333333333,0.0,0.0833333333333,12,,1,Hillary Clinton,Monica Hanley,"Fw: Fwd: [Salon] The Death of Ambassador Chris Stevens, the Need for ''Expeditionary","Monday, October 15, 2012 4:46 PM",,,60
C05739733,4,0,0,0.0727272727273,0.0,0.0727272727273,55,,1,Hillary Clinton,Jacob Sullivan; 'reiriesp@state.gov',"Fw: Fwd: [Salon] The Death of Ambassador Chris Stevens, the Need for ""Expeditionary","Monday, October 15, 2012 4:56 PM",,,259
C05739740,0,0,0,0.0,0.0,0.0,3,,1,Hillary Clinton,,,"Wednesday, October 17, 2012 5.48 PM",,,10
C05739741,1,0,0,0.0555555555556,0.0,0.0555555555556,18,,1,Hillary Clinton,,Fw:,,,,77
C05739744,0,0,0,0.0,0.0,0.0,7,,1,Hillary Clinton,'suilivanii@stategov‘,"Fw: H: New intel, Libyan PM's plans. Sid","Wednesday, October 17, 2012 905 PM",,,61
C05739745,0,0,0,0.0,0.0,0.0,15,,1,Hillary Clinton,Huma Abedin; 'sullivanj@state.goV,Re: Benghazi update (1200 local),,,,79
C05739747,0,0,0,0.0,0.0,0.0,3,,1,Hillary Clinton,,Fw: Fwd: Andrew Sullivan with the Hillary love,Wednesday. September 19 2012 4:26 PM,,,10
C05739748,0,0,0,0.0,0.0,0.0,8,,2,Hillary Clinton," AbedIn, Hume;Jacob Sullivan",Re: Benghazi update (1200 local),"Monday, August 22, 2011 07:10 AM",,,44
C05739754,0,0,0,0.0,0.0,0.0,10,,1,Hillary Clinton,•Russorv@stategov',"Fw: Rice on ""This Week""",,,,49
C05739755,0,0,0,0.0,0.0,0.0,5,,1,Hillary Clinton, Oscar Flores,Fw: tick tock on libya,"Saturday, September 3, 2011 10:28 PM",,,17
C05739763,1,0,0,0.0263157894737,0.0,0.0263157894737,38,,1,Hillary Clinton,Cheryl Mills,Libya,,,,179
C05739769,0,0,0,0.0,0.0,0.0,20,,1,Hillary Clinton,Robert Russo,Fw; H; Latest intel: Libyan leadership private discussions. Sid,,,,121
C05739771,0,0,0,0.0,0.0,0.0,24,,1,Hillary Clinton,"'suilivanij@state.gok,",Fitv: H: Latest intel: Libyan leadership private discussions Sid,,,,144
C05739772,0,0,0,0.0,0.0,0.0,8,,2,Hillary Clinton,"Sullivan, Jacob J",Fw: H: Latest intel: Libyan leadership private discussions. Sid,"Thursday, October 25, 2012 10:18 AM",,,34
C05739775,0,0,0,0.0,0.0,0.0,9,,1,Hillary Clinton, Oscar Flores,Fw: cgi draft v3 092212.docx,"Saturday, September 22, 2012 407 PM",,,47
C05739778,0,0,0,0.0,0.0,0.0,3,,1,Hillary Clinton,Monica Hanley,Fw: Not a dry eye in NEA,"Sunday, September 23, 2012 10:29 PM",,,10
C05739780,0,0,0,0.0,0.0,0.0,1,,2,Hillary Clinton,Cheryl Mills;Philippe Reines,How are the hearings going?,"Tuesday, November 13, 2012 3:01 PM",,,0
C05739781,1,0,0,0.111111111111,0.0,0.111111111111,9,,1,Hillary Clinton,'hanleyrnr@state.gov',Fw: S today,"Sunday, September 23, 2012 10:29 PM",,,37
C05739788,1,0,0,0.142857142857,0.0,0.142857142857,7,,1,Hillary Clinton,Monica Hanley,Fw:,"Sunday, September 23, 2012 10:36 PM",,,32
C05739790,0,0,0,0.0,0.0,0.0,3,,1,Hillary Clinton, hanIeymr@state.gov,Fw: Thanks,"Sunday, September 23, 2012 10.36 PM",,,10
C05739791,0,0,0,0.0,0.0,0.0,4,,1,Hillary Clinton,Monica Hanley,Fw: thanks,"Sunday, September 23, 2012 10:36 PM",,,14
C05739793,0,0,0,0.0,0.0,0.0,3,,1,Hillary Clinton,'hanleymrgastategov',Fw: Remarks,"Sunday, September 23, 2012 10:37 PM",,,10
C05739794,0,1,0.0,0.0,0.04,-0.04,25,,1,Hillary Clinton,'sulliyanfOstate.gott,"Fw: H: latest Intel libyan conflicts, leaders & militias. Sid",,,,163
C05739796,2,0,0,0.222222222222,0.0,0.222222222222,9,,1,Hillary Clinton,,"Re: H: latest intel libyan conflicts, leaders & militias. Sid",Thursday January 5 2012 5:22 PM,,,38
C05739797,1,0,0,0.047619047619,0.0,0.047619047619,21,,1,Hillary Clinton,'aliilscd@state.gov',Re: POLITICO Breaking News,"Wednesday, November 14, 2012 0806 PM Eastern Standard Time",,,121
C05739798,0,0,0,0.0,0.0,0.0,14,,1,Hillary Clinton,'hanleyrnr@state.gov',Fw: Libyans march against Islamist militias in Benghazi,"Sunday, September 23, 2012 10:57 PM",,,57
C05739803,0,1,0.0,0.0,0.05,-0.05,20,,2,H [mailto:HDR22@clintonemail.comi,Sullivan„ Jacob,"Fw: H: latest Intel libyan conflicts, leaders & militias. Sid",,,,106
C05739805,0,0,0,0.0,0.0,0.0,15,,1,Hillary Clinton,,Fvv: WSJ: Hillary and Libya,"Sunday, November 18, 2012 5:41 PM",,,58
C05739813,0,0,0,0.0,0.0,0.0,3,,1,Hillary Clinton,Robert Russo,Fw: HRC friend,"Thursday, January 12, 2012 3:41 PM",,,10
C05739817,0,0,0,0.0,0.0,0.0,9,,1,Hillary Clinton,'millscd@statedov',Re: Monday November 26 from 2:35 - 320 pm - Topic B5,"Friday, November 23, 2012 4:16 PM",,,36
C05739819,0,0,0,0.0,0.0,0.0,8,,2,Hillary Clinton,Cheryl Mills,Re: Monday November 26 from 2:35 - 3:20 pm - Topic - Benghazi B5,"Friday, November 23, 2012 04:16 PM",,,26
C05739823,0,0,0,0.0,0.0,0.0,6,,1,Hillary Clinton,"'millscd©state,gov.",Re: Monday November 26 from 2:35 - 3:20 pm - Topic B5,"Friday, November 23, 2012 7:35 PM", ValmoroLJ ,,26
C05739823,0,0,0,0.0,0.0,0.0,7,,3,H [mallto:HDR22©clintinemall.corn),Cheryl Mills,Re: Monday November 26 from 2:35 - 3:20 pm - Topic - Benghazi B5,"Friday, November 23, 2012 04:16 PM",,,25
C05739825,0,0,0,0.0,0.0,0.0,3,,2,Hillary Clinton,Cheryl Mills,Re: vionday November 26 from 2:35 - 3:20 pm - Topic - Benghazi B5,"Friday, November 23, 2012 07:35 PM"," Valmoro, Lona .3",,13
C05739825,1,0,0,0.0384615384615,0.0,0.0384615384615,26,,4,H tmailto:HDR22@clintonerriall.comj,Cheryl Mills,Re lonclay November 26 from 2:35 - 3:20 pm - Topic - Benghazi B5,"Friday, November 23, 2012 04:16 PM",,,103
C05739827,0,0,0,0.0,0.0,0.0,8,,2,H imailto:HDR22@clintonemail.comi,Cheryl Mills,Re: 4onday November 26 from 2:35- 3:20 pm - Topic - Benghazi B5,"Friday, November 23, 2012 04:16 PM",,,26
C05739833,0,0,0,0.0,0.0,0.0,3,,1,Hillary Clinton, Oscar Flores,Fw: Bill Keller piece,"Sunday, September 30, 2012 10:19 PM",,,10
C05739834,32,2,16.0,0.0919540229885,0.00574712643678,0.0862068965517,348,,1,Hillary Clinton,Hillary Clinton,Re: Schedule,"Sunday, November 25, 2012 07:48 AM Eastern Standard Time","Abedin, Hume <AbedinH©state.gov›;Huma Abedin; Valmoro, Lona 3 <Valmoroli@state,gov>",,1844
C05739849,7,4,1.75,0.102941176471,0.0588235294118,0.0441176470588,68,,1,Hillary Clinton, 'BurnsWJ@state.gov '; `NidesTh@stategoy',Thank you so much,,`rnillscd©stategov`,,327
C05739851,7,3,2.33333333333,0.116666666667,0.05,0.0666666666667,60,,2,Hillary Clinton," Burns, William J ; Nides, Thomas R",Thank you so much,"Thursday, December 20, 2012 07:38 AM",Cheryl Mills,,284
C05739853,7,4,1.75,0.112903225806,0.0645161290323,0.0483870967742,62,,3,Hillary Clinton," Burns William .1; Nides, Thomas R",Thank you so much,"Thursday, December 20, 2012 07:38 AM",Cheryl Mills,,291
C05739856,2,0,0,0.1,0.0,0.1,20,,1,Hillary Clinton,Cheryl Mills,Re: FOX from Caitlin,"Thursday, December 20, 2012 8:03 AM",,,97
C05739857,78,66,1.18181818182,0.0781563126253,0.0661322645291,0.0120240480962,998,,2,Hillary Clinton," 'Sullivan, Jacob 3'",Fw: H: V good Intel internal Libya. Sid,"Monday, January 23, 2012 1:41 PM",,,5772
C05739857,0,1,0.0,0.0,0.05,-0.05,20,,3,Hillary Clinton,Robert Russo,Fw. H: V good intel internal Libya. Sid,"Monday, January 23, 2012 9:17 PM",,,111
C05739858,0,0,0,0.0,0.0,0.0,5,,1,Hillary Clinton,Cheryl Mills,Re: FOX from Caitlin,"Thursday, December 20, 2012 8:23 AM",,,16
C05739860,0,0,0,0.0,0.0,0.0,2,,1,Hillary Clinton,Jacob Sullivan,"Fw: H: Sure you've seen all this info, but start on graph 5. Sid","Thursday, December 20, 2012 12:40 PM",,,4
C05739861,0,1,0.0,0.0,0.0909090909091,-0.0909090909091,11,,1,Hillary Clinton,'Russorv©state.gov',Fw: H: V good Intel internal Libya. Sid,"Friday, January 27, 2012 7:15 AM",,,66
C05739864,1,0,0,0.0322580645161,0.0,0.0322580645161,31,,1,Hillary Clinton,"Sullivan, Jacob J","Fwd: H: Libya, intd, internal conflict over militias. Sid",,,,179
C05739865,0,0,0,0.0,0.0,0.0,12,,1,Hillary Clinton,Jacob Sullivan,"Fw: H: Libya, latest Benghazi intel. Sid","Thursday, December 20 2012 1:52 PM",,,63
C05739867,70,15,4.66666666667,0.138067061144,0.0295857988166,0.108481262327,507,,2,Hillary Clinton,,Thank You,"Friday, December 21, 2012 06:18 PM",,,2704
C05739869,1,0,0,0.142857142857,0.0,0.142857142857,7,,1,Hillary Clinton,Robert Russo,Fw: From HRC friend,"Tuesday, February 28, 2012 8:29 AM",,,33
